Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

FU19       RC1210                  180mm        73.2mm         180mm        73.2mm         180mm        71.6mm  T         90.00 MICROSMD010F-2 
FU20       RC1210                195.7mm        73.2mm       195.7mm        73.2mm       195.7mm        71.6mm  T         90.00 MICROSMD010F-2 
FU21       RC1210                154.3mm      90.375mm       154.3mm      90.375mm       152.7mm      90.375mm  T          0.00 MICROSMD010F-2 
FU22       RC1210                154.3mm        95.4mm       154.3mm        95.4mm       152.7mm        95.4mm  T          0.00 MICROSMD010F-2 
FU23       RXE-110             164.785mm      111.65mm     167.325mm      111.65mm     167.325mm      111.65mm  T        180.00 RXE-110        
J1         PIN2W                60.075mm      99.805mm      60.075mm     101.075mm      60.075mm     101.075mm  T        270.00 PLS-02         
J2         PIN2W                  66.9mm       99.83mm        66.9mm       101.1mm        66.9mm       101.1mm  T        270.00 PLS-02         
L1         SDR0805               125.9mm      98.575mm       125.9mm      98.575mm     123.233mm      98.575mm  T          0.00 220uH          
QR1        AC5032_2              76.45mm        96.6mm       76.45mm        96.6mm       76.45mm        98.6mm  T        270.00 NX5032GA-12.000MHz LN-CD-1
R1         RC0603              44.9253mm      79.625mm      44.925mm      79.625mm        45.7mm      79.625mm  T        180.00 4k7            
R2         RC0603              60.5003mm      79.625mm        60.5mm      79.625mm      61.275mm      79.625mm  T        180.00 4k7            
R3         RC0603              76.1003mm      79.625mm        76.1mm      79.625mm      76.875mm      79.625mm  T        180.00 4k7            
R4         RC0603              91.7253mm      79.625mm      91.725mm      79.625mm        92.5mm      79.625mm  T        180.00 4k7            
R5         RC0603              50.9753mm      82.275mm      50.975mm      82.275mm       51.75mm      82.275mm  T        180.00 100k           
R6         RC0603              66.5253mm      82.275mm      66.525mm      82.275mm        67.3mm      82.275mm  T        180.00 100k           
R7         RC0603              82.1253mm      82.275mm      82.125mm      82.275mm        82.9mm      82.275mm  T        180.00 100k           
R8         RC0603              97.7503mm      82.275mm       97.75mm      82.275mm      98.525mm      82.275mm  T        180.00 100k           
R9         RC0603             107.3253mm      79.625mm     107.325mm      79.625mm       108.1mm      79.625mm  T        180.00 4k7            
R10        RC0603             122.9253mm      79.625mm     122.925mm      79.625mm       123.7mm      79.625mm  T        180.00 4k7            
R11        RC0603             138.5253mm      79.625mm     138.525mm      79.625mm       139.3mm      79.625mm  T        180.00 4k7            
R12        RC0603             154.1253mm      79.625mm     154.125mm      79.625mm       154.9mm      79.625mm  T        180.00 4k7            
R13        RC0603             113.3503mm      82.275mm      113.35mm      82.275mm     114.125mm      82.275mm  T        180.00 100k           
R14        RC0603             128.9753mm      82.275mm     128.975mm      82.275mm      129.75mm      82.275mm  T        180.00 100k           
R15        RC0603             144.5753mm      82.275mm     144.575mm      82.275mm      145.35mm      82.275mm  T        180.00 100k           
R16        RC0603             160.1503mm      82.275mm      160.15mm      82.275mm     160.925mm      82.275mm  T        180.00 100k           
R17        RC0603             169.7253mm      79.625mm     169.725mm      79.625mm       170.5mm      79.625mm  T        180.00 4k7            
R18        RC0603             185.4253mm      79.625mm     185.425mm      79.625mm       186.2mm      79.625mm  T        180.00 4k7            
R19        RC0603             175.7503mm      82.275mm      175.75mm      82.275mm     176.525mm      82.275mm  T        180.00 100k           
R20        RC0603             191.4753mm      82.275mm     191.475mm      82.275mm      192.25mm      82.275mm  T        180.00 100k           
R21        RC0603                 49.3mm     74.0997mm        49.3mm        74.1mm        49.3mm      73.325mm  T         90.00 4k7            
R22        RC0603                 64.9mm     73.9997mm        64.9mm          74mm        64.9mm      73.225mm  T         90.00 4k7            
R23        RC0603                 80.5mm     73.9997mm        80.5mm          74mm        80.5mm      73.225mm  T         90.00 4k7            
R24        RC0603                 96.1mm     73.9997mm        96.1mm          74mm        96.1mm      73.225mm  T         90.00 4k7            
R25        RC0603                111.7mm     73.9997mm       111.7mm          74mm       111.7mm      73.225mm  T         90.00 4k7            
R26        RC0603                127.3mm     73.9997mm       127.3mm          74mm       127.3mm      73.225mm  T         90.00 4k7            
R27        RC0603                142.9mm     73.9997mm       142.9mm          74mm       142.9mm      73.225mm  T         90.00 4k7            
R28        RC0603                158.5mm     73.9997mm       158.5mm          74mm       158.5mm      73.225mm  T         90.00 4k7            
R29        RC0603                174.1mm     73.9997mm       174.1mm          74mm       174.1mm      73.225mm  T         90.00 4k7            
R30        RC0603                189.8mm     73.9997mm       189.8mm          74mm       189.8mm      73.225mm  T         90.00 4k7            
R31        RC0603                83.95mm    109.3997mm       83.95mm       109.4mm       83.95mm     108.625mm  T         90.00 100E           
R32        RC0603                63.55mm    103.9003mm       63.55mm       103.9mm       63.55mm     104.675mm  T        270.00 10k            
R33        RC0603                70.65mm    102.3753mm       70.65mm     102.375mm       70.65mm      103.15mm  T        270.00 10k            
R34        RC0603             159.6247mm      98.825mm     159.625mm      98.825mm      158.85mm      98.825mm  T          0.00 330E           
R35        RC0603             159.6247mm     103.975mm     159.625mm     103.975mm      158.85mm     103.975mm  T          0.00 330E           
R36        RC0603               136.15mm    100.6247mm      136.15mm     100.625mm      136.15mm       99.85mm  T         90.00 560k 1%        
R37        RC0603             141.7247mm      96.675mm     141.725mm      96.675mm      140.95mm      96.675mm  T          0.00 3k 1%          
R38        RC0603             144.7253mm      96.675mm     144.725mm      96.675mm       145.5mm      96.675mm  T        180.00 1k 1%          
R39        RC0805              148.625mm         103mm     148.625mm         103mm     147.675mm         103mm  T          0.00 1E             
R40        RC0805              148.625mm     101.025mm     148.625mm     101.025mm     147.675mm     101.025mm  T          0.00 1E             
R41        RC0603                113.9mm    108.2753mm       113.9mm     108.275mm       113.9mm      109.05mm  T        270.00 18k 1%         
R42        RC0603             116.4247mm      105.35mm     116.425mm      105.35mm      115.65mm      105.35mm  T          0.00 11k 1%         
Rep1       REPER1.2             204.25mm        53.4mm      204.25mm        53.4mm      204.25mm        53.4mm  T         90.00 REPER1.2       
Rep2       REPER1.2               43.7mm     107.225mm        43.7mm     107.225mm        43.7mm     107.225mm  T         90.00 REPER1.2       
VD1        SMB                    55.2mm        80.9mm        55.2mm        80.9mm        55.2mm        83.2mm  T         90.00 P6SMBJ28A      
VD2        SMB                    70.8mm        80.9mm        70.8mm        80.9mm        70.8mm        83.2mm  T         90.00 P6SMBJ28A      
VD3        SMB                    86.4mm        80.9mm        86.4mm        80.9mm        86.4mm        83.2mm  T         90.00 P6SMBJ28A      
VD4        SMB                     102mm        80.9mm         102mm        80.9mm         102mm        83.2mm  T         90.00 P6SMBJ28A      
VD5        SOT-23(123)         49.0316mm      79.616mm        50.2mm        78.6mm     50.1873mm        78.6mm  T          0.00 BAT54A         
VD6        SOT-23(123)         64.6066mm      79.616mm      65.775mm        78.6mm     65.7623mm        78.6mm  T          0.00 BAT54A         
VD7        SOT-23(123)         80.2066mm      79.641mm      81.375mm      78.625mm     81.3623mm      78.625mm  T          0.00 BAT54A         
VD8        SOT-23(123)         95.8316mm      79.616mm          97mm        78.6mm     96.9873mm        78.6mm  T          0.00 BAT54A         
VD9        SMB                   117.6mm        80.9mm       117.6mm        80.9mm       117.6mm        83.2mm  T         90.00 P6SMBJ28A      
VD10       SMB                   133.2mm        80.9mm       133.2mm        80.9mm       133.2mm        83.2mm  T         90.00 P6SMBJ28A      
VD11       SMB                   148.8mm        80.9mm       148.8mm        80.9mm       148.8mm        83.2mm  T         90.00 P6SMBJ28A      
VD12       SMB                   164.4mm        80.9mm       164.4mm        80.9mm       164.4mm        83.2mm  T         90.00 P6SMBJ28A      
VD13       SOT-23(123)        111.4316mm      79.616mm       112.6mm        78.6mm    112.5873mm        78.6mm  T          0.00 BAT54A         
VD14       SOT-23(123)        127.0316mm      79.641mm       128.2mm      78.625mm    128.1873mm      78.625mm  T          0.00 BAT54A         
VD15       SOT-23(123)        142.6316mm      79.616mm       143.8mm        78.6mm    143.7873mm        78.6mm  T          0.00 BAT54A         
VD16       SOT-23(123)        158.2316mm      79.616mm       159.4mm        78.6mm    159.3873mm        78.6mm  T          0.00 BAT54A         
VD17       SMB                     180mm        80.9mm         180mm        80.9mm         180mm        83.2mm  T         90.00 P6SMBJ28A      
VD18       SMB                   195.7mm        80.9mm       195.7mm        80.9mm       195.7mm        83.2mm  T         90.00 P6SMBJ28A      
VD19       SOT-23(123)        173.8316mm      79.616mm         175mm        78.6mm    174.9873mm        78.6mm  T          0.00 BAT54A         
VD20       SOT-23(123)        189.5316mm      79.616mm       190.7mm        78.6mm    190.6873mm        78.6mm  T          0.00 BAT54A         
VD21       LED0805               50.25mm        71.5mm        49.3mm        71.5mm        49.3mm        71.5mm  T          0.00 LED_0805       
VD22       LED0805               65.85mm        71.5mm        64.9mm        71.5mm        64.9mm        71.5mm  T          0.00 LED_0805       
VD23       LED0805               81.45mm        71.5mm        80.5mm        71.5mm        80.5mm        71.5mm  T          0.00 LED_0805       
VD24       LED0805               97.05mm        71.5mm        96.1mm        71.5mm        96.1mm        71.5mm  T          0.00 LED_0805       
VD25       LED0805              112.65mm        71.5mm       111.7mm        71.5mm       111.7mm        71.5mm  T          0.00 LED_0805       
VD26       LED0805              128.25mm        71.5mm       127.3mm        71.5mm       127.3mm        71.5mm  T          0.00 LED_0805       
VD27       LED0805              143.85mm        71.5mm       142.9mm        71.5mm       142.9mm        71.5mm  T          0.00 LED_0805       
VD28       LED0805              159.45mm        71.5mm       158.5mm        71.5mm       158.5mm        71.5mm  T          0.00 LED_0805       
VD29       LED0805              175.05mm        71.5mm       174.1mm        71.5mm       174.1mm        71.5mm  T          0.00 LED_0805       
VD30       LED0805              190.75mm        71.5mm       189.8mm        71.5mm       189.8mm        71.5mm  T          0.00 LED_0805       
VD31       LED0805               163.3mm     103.975mm      162.35mm     103.975mm      162.35mm     103.975mm  T          0.00 LED_0805       
VD32       LED0805               163.3mm      98.825mm      162.35mm      98.825mm      162.35mm      98.825mm  T          0.00 LED_0805       
VD33       SMA                 133.275mm      99.375mm     133.275mm      99.375mm     133.275mm      97.325mm  T         90.00 SS14           
VD34       SOT-23(123)        149.2184mm      93.034mm      148.05mm       94.05mm    148.0627mm       94.05mm  T        180.00 PESD2CAN       
VD35       SMA                 175.875mm     111.625mm     175.875mm     111.625mm     177.925mm     111.625mm  T        180.00 GS1M           
XP13       PIN6                  76.81mm      111.43mm       79.35mm       112.7mm       79.35mm       112.7mm  T        180.00 PLD-06         
XP1        330-021               174.1mm       102.9mm       174.1mm       100.4mm       174.1mm       100.4mm  T         90.00 DG330-5.0-02P  
XP2        DG330-5.0-03P          50.2mm        61.5mm        45.2mm        61.5mm        45.2mm        61.5mm  T          0.00 DG330-5.0-03P  
XP3        DG330-5.0-03P         128.2mm        61.5mm       123.2mm        61.5mm       123.2mm        61.5mm  T          0.00 DG330-5.0-03P  
XP4        DG330-5.0-03P          65.8mm        61.5mm        60.8mm        61.5mm        60.8mm        61.5mm  T          0.00 DG330-5.0-03P  
XP5        DG330-5.0-03P         143.8mm        61.5mm       138.8mm        61.5mm       138.8mm        61.5mm  T          0.00 DG330-5.0-03P  
XP6        330-021               174.1mm        92.9mm       174.1mm        90.4mm       174.1mm        90.4mm  T         90.00 DG330-5.0-02P  
XP7        DG330-5.0-03P          81.4mm        61.5mm        76.4mm        61.5mm        76.4mm        61.5mm  T          0.00 DG330-5.0-03P  
XP8        DG330-5.0-03P         159.4mm        61.5mm       154.4mm        61.5mm       154.4mm        61.5mm  T          0.00 DG330-5.0-03P  
XP9        DG330-5.0-03P            97mm        61.5mm          92mm        61.5mm          92mm        61.5mm  T          0.00 DG330-5.0-03P  
XP10       DG330-5.0-03P           175mm        61.5mm         170mm        61.5mm         170mm        61.5mm  T          0.00 DG330-5.0-03P  
XP11       DG330-5.0-03P         112.6mm        61.5mm       107.6mm        61.5mm       107.6mm        61.5mm  T          0.00 DG330-5.0-03P  
XP12       DG330-5.0-03P         190.7mm        61.5mm       185.7mm        61.5mm       185.7mm        61.5mm  T          0.00 DG330-5.0-03P  
C28        CC1206              148.725mm     107.275mm     148.725mm     107.275mm     148.725mm     105.825mm  T         90.00 0.1uFx250V     
C29        CC8X3.5             116.475mm        95.6mm     116.475mm       97.35mm     116.475mm       97.35mm  T        270.00 1000uFx6.3V    
R44        RC1206              144.725mm      112.15mm     144.725mm      112.15mm     144.725mm       113.6mm  T        270.00 220k           
R45        RC1206              147.325mm      112.15mm     147.325mm      112.15mm     147.325mm       110.7mm  T         90.00 220k           
R46        RC1206                159.3mm       114.6mm       159.3mm       114.6mm      160.75mm       114.6mm  T        180.00 220k           
VD36       SOT-23(123)        143.9816mm     106.391mm      145.15mm     105.375mm    145.1373mm     105.375mm  T          0.00 BZX84C36       
VD37       SOT-23(123)         154.759mm    112.0816mm     155.775mm      113.25mm     155.775mm    113.2373mm  T         90.00 BZX84C15       
VT2        SOT-23(123)         150.391mm    111.8684mm     149.375mm       110.7mm     149.375mm    110.7127mm  T        270.00 BC856B         
VT3        D-PAK(TO-252AA)     188.325mm       111.9mm     189.575mm       111.9mm     185.075mm      114.18mm  T          0.00 IRFR9220       

