"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R11","RC0603","146.025mm","60.2753mm","146.025mm","60.275mm","146.025mm","61.05mm","T","270.00","n.p"
"R12","RC0603","118.4497mm","59mm","118.45mm","59mm","117.675mm","59mm","T","360.00","120k"
"R13","RC0603","116.5mm","56.3747mm","116.5mm","56.375mm","116.5mm","55.6mm","T","90.00","10k"
"R14","RC0603","157.7003mm","58.95mm","157.7mm","58.95mm","158.475mm","58.95mm","T","180.00","10k"
"R15","RC0603","156.0747mm","61.25mm","156.075mm","61.25mm","155.3mm","61.25mm","T","360.00","10k"
"R16","RC0603","122.15mm","101.0247mm","122.15mm","101.025mm","122.15mm","100.25mm","T","90.00","12k1"
"R17","RC0603","135.2997mm","52.075mm","135.3mm","52.075mm","134.525mm","52.075mm","T","360.00","2k2"
"R18","RC0603","128.8503mm","52.075mm","128.85mm","52.075mm","129.625mm","52.075mm","T","180.00","2k2"
"R19","RC0603","120.1747mm","97.95mm","120.175mm","97.95mm","119.4mm","97.95mm","T","360.00","20k1"
"R20","RC0603","157.1997mm","90.925mm","157.2mm","90.925mm","156.425mm","90.925mm","T","360.00","10k"
"R21","RC0603","150.35mm","89.8747mm","150.35mm","89.875mm","150.35mm","89.1mm","T","90.00","10k"
"R22","RC0603","132.625mm","98.1003mm","132.625mm","98.1mm","132.625mm","98.875mm","T","270.00","10k"
"R23","RC0603","134.3mm","98.1003mm","134.3mm","98.1mm","134.3mm","98.875mm","T","270.00","10k"
"R24","RC0603","135.9mm","98.1003mm","135.9mm","98.1mm","135.9mm","98.875mm","T","270.00","10k"
"R25","RC0603","137.525mm","98.1003mm","137.525mm","98.1mm","137.525mm","98.875mm","T","270.00","10k"
"R26","RC0603","155.7747mm","72.525mm","155.775mm","72.525mm","155mm","72.525mm","T","360.00","10k"
"R27","RC0603","153.0997mm","64.45mm","153.1mm","64.45mm","152.325mm","64.45mm","T","360.00","10k"
"R28","RC0603","119.6747mm","34.775mm","119.675mm","34.775mm","118.9mm","34.775mm","T","360.00","1k"
"R29","RC0603","122.2253mm","119.775mm","122.225mm","119.775mm","123mm","119.775mm","T","180.00","1k"
"R30","RC0603","109.2mm","70.6747mm","109.2mm","70.675mm","109.2mm","69.9mm","T","90.00","68k1 1%"
"R31","RC0603","112.525mm","67.9753mm","112.525mm","67.975mm","112.525mm","68.75mm","T","270.00","12k"
"R32","RC0603","111.2003mm","57.65mm","111.2mm","57.65mm","111.975mm","57.65mm","T","180.00","240k"
"R33","RC0603","109.2mm","67.6747mm","109.2mm","67.675mm","109.2mm","66.9mm","T","90.00","13k 1%"
"R34","RC0603","126.7mm","106.4997mm","126.7mm","106.5mm","126.7mm","105.725mm","T","90.00","11k 1%"
"R35","RC0603","126.7mm","103.5247mm","126.7mm","103.525mm","126.7mm","102.75mm","T","90.00","18k 1%"
"REPER1","REPER1.2","100.275mm","118.875mm","100.275mm","118.875mm","100.275mm","118.875mm","T","90.00","REPER1.2"
"REPER2","REPER1.2","159.475mm","33.475mm","159.475mm","33.475mm","159.475mm","33.475mm","T","90.00","REPER1.2"
"VD1","SOT-23(123)","112.166mm","53.0184mm","111.15mm","51.85mm","111.15mm","51.8627mm","T","270.00","PESD2CAN"
"VD2","SOD-80","123.4mm","80.6mm","123.4mm","80.6mm","125.051mm","80.6mm","T","360.00","n.p"
"VD3","SOD-523","131.4mm","52.875mm","131.4mm","52.875mm","131.4mm","53.675mm","T","270.00","ESD5Z3.3T1G/T5G"
"VD4","SOD-523","132.725mm","52.875mm","132.725mm","52.875mm","132.725mm","53.675mm","T","270.00","ESD5Z3.3T1G/T5G"
"VD5","SOT-23(GSD)","119.241mm","55.9934mm","118.225mm","54.825mm","118.225mm","54.8377mm","T","0.00","BAT54S"
"VD6","SOD-80","147.35mm","98.025mm","147.35mm","98.025mm","147.35mm","99.676mm","T","90.00","LL4148"
"VD7","SOD-80","142.35mm","98.025mm","142.35mm","98.025mm","142.35mm","99.676mm","T","90.00","LL4148"
"VD8","SOD-523","149.225mm","120.9mm","149.225mm","120.9mm","150.025mm","120.9mm","T","180.00","ESD5Z3.3T1G/T5G"
"VD9","SOD-523","149.225mm","119.525mm","149.225mm","119.525mm","150.025mm","119.525mm","T","180.00","ESD5Z3.3T1G/T5G"
"VD10","SOD-80","144.85mm","98.025mm","144.85mm","98.025mm","144.85mm","99.676mm","T","90.00","LL4148"
