"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R42","RC0603","99.2mm","57.0497mm","99.2mm","57.05mm","99.2mm","56.275mm","T","90.00","13k 1%"
"R43","RC0603","117.1mm","74.4247mm","117.1mm","74.425mm","117.1mm","73.65mm","T","90.00","4k7"
"R44","RC0603","114.775mm","70.9747mm","114.775mm","70.975mm","114.775mm","70.2mm","T","90.00","220E"
"R45","RC0603","109.4003mm","73.725mm","109.4mm","73.725mm","110.175mm","73.725mm","T","180.00","10k"
"R46","RC0603","108.625mm","71.3247mm","108.625mm","71.325mm","108.625mm","70.55mm","T","90.00","100k"
"R47","RC0603","116.2997mm","86.6mm","116.3mm","86.6mm","115.525mm","86.6mm","T","360.00","4k7"
"R48","RC0603","110.8497mm","77.475mm","110.85mm","77.475mm","110.075mm","77.475mm","T","360.00","220E"
"R49","RC0603","107.2003mm","86.025mm","107.2mm","86.025mm","107.975mm","86.025mm","T","180.00","10k"
"R50","RC0603","104.225mm","85.2497mm","104.225mm","85.25mm","104.225mm","84.475mm","T","90.00","100k"
"R51","RC0603","116.2997mm","97.725mm","116.3mm","97.725mm","115.525mm","97.725mm","T","360.00","4k7"
"R52","RC0603","107.625mm","95.8497mm","107.625mm","95.85mm","107.625mm","95.075mm","T","90.00","220E"
"R53","RC0603","104.3003mm","90.475mm","104.3mm","90.475mm","105.075mm","90.475mm","T","180.00","10k"
"R54","RC0603","105.4503mm","88.575mm","105.45mm","88.575mm","106.225mm","88.575mm","T","180.00","100k"
"U1","PC817","121.75mm","68.925mm","121.75mm","68.925mm","117.25mm","70.195mm","T","360.00","K10102C"
"U2","PC817","111.85mm","84.475mm","111.85mm","84.475mm","110.58mm","79.975mm","T","90.00","K10102C"
"U3","PC817","111.775mm","98.65mm","111.775mm","98.65mm","110.505mm","94.15mm","T","90.00","K10102C"
"VD1","SMB","76.9mm","101.3mm","76.9mm","101.3mm","79.2mm","101.3mm","T","360.00","SMBJ15CA"
"VD2","SMB","98.35mm","97.875mm","98.35mm","97.875mm","96.05mm","97.875mm","T","180.00","SMBJ15CA"
"VD3","SMB","91.325mm","98.325mm","91.325mm","98.325mm","93.625mm","98.325mm","T","360.00","SMBJ15CA"
"VD4","SOT-23(123)","109.4566mm","51.516mm","110.625mm","50.5mm","110.6123mm","50.5mm","T","360.00","PESD2CAN"
"VD7","LED0805","99.975mm","30.925mm","99.975mm","31.875mm","99.975mm","31.875mm","T","270.00","LED_0805"
