Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

XP4        MIF2X02PRP            166.2mm       49.04mm       167.7mm        49.7mm       167.7mm        49.7mm  B        270.00 n.p            
C5         CR2032_ONBOARD         52.1mm          82mm       52.45mm      83.425mm        52.1mm          92mm  B        360.00 EEC-S5R5H105   
VD24       3528LED             104.625mm       84.65mm     104.625mm      84.825mm     104.625mm      85.825mm  T        270.00 LED_3528       
VD25       3528LED              114.45mm       82.95mm     114.625mm       82.95mm     115.625mm       82.95mm  T        180.00 LED_3528       
VD26       3528LED              136.05mm       82.25mm     135.875mm       82.25mm     134.875mm       82.25mm  T        360.00 LED_3528       
VD27       3528LED               148.9mm       82.25mm     148.725mm       82.25mm     147.725mm       82.25mm  T        360.00 LED_3528       
VD28       3528LED             160.025mm      84.025mm       160.2mm      84.025mm       161.2mm      84.025mm  T        180.00 LED_3528       
VD29       3528LED              46.675mm        77.4mm        46.5mm        77.4mm        45.5mm        77.4mm  T        360.00 LED_3528       
VD30       3528LED               67.85mm       77.15mm       67.85mm      76.975mm       67.85mm      75.975mm  T         90.00 LED_3528       
VD32       3528LED              71.925mm      67.825mm      71.925mm       67.65mm      71.925mm       66.65mm  T         90.00 LED_3528       
VD33       3528LED              88.075mm       67.25mm        87.9mm       67.25mm        86.9mm       67.25mm  T        360.00 LED_3528       
VD34       3528LED              105.35mm      68.375mm      105.35mm        68.2mm      105.35mm        67.2mm  T         90.00 LED_3528       
VD35       3528LED               119.7mm       67.55mm       119.7mm      67.375mm       119.7mm      66.375mm  T         90.00 LED_3528       
VD36       3528LED             133.675mm       68.45mm     133.675mm      68.275mm     133.675mm      67.275mm  T         90.00 LED_3528       
VD37       3528LED                 147mm        68.3mm         147mm      68.125mm         147mm      67.125mm  T         90.00 LED_3528       
VD38       3528LED                 162mm      67.975mm         162mm        67.8mm         162mm        66.8mm  T         90.00 LED_3528       
VD39       3528LED              81.775mm       75.15mm      81.775mm      74.975mm      81.775mm      73.975mm  T         90.00 LED_3528       
VD40       3528LED               89.25mm        74.9mm       89.25mm      74.725mm       89.25mm      73.725mm  T         90.00 LED_3528       
VD41       3528LED              104.15mm      75.225mm     104.325mm      75.225mm     105.325mm      75.225mm  T        180.00 LED_3528       
VD42       3528LED             124.475mm      70.725mm     124.475mm       70.55mm     124.475mm       69.55mm  T         90.00 LED_3528       
VD43       3528LED               137.4mm      74.425mm       137.4mm       74.25mm       137.4mm       73.25mm  T         90.00 LED_3528       
VD44       3528LED              149.35mm      73.475mm     149.175mm      73.475mm     148.175mm      73.475mm  T        360.00 LED_3528       
VD45       3528LED             163.175mm       73.25mm         163mm       73.25mm         162mm       73.25mm  T        360.00 LED_3528       
VD46       3528LED              77.875mm        80.7mm       78.05mm        80.7mm       79.05mm        80.7mm  T        180.00 LED_3528       
VD47       3528LED              93.075mm      79.725mm      93.075mm       79.55mm      93.075mm       78.55mm  T         90.00 LED_3528       
VD48       3528LED             105.725mm      78.825mm      105.55mm      78.825mm      104.55mm      78.825mm  T        360.00 LED_3528       
VD49       3528LED             126.225mm      78.925mm     126.225mm       78.75mm     126.225mm       77.75mm  T         90.00 LED_3528       
VD50       3528LED             144.225mm      77.675mm      144.05mm      77.675mm      143.05mm      77.675mm  T        360.00 LED_3528       
VD51       3528LED             154.425mm      77.875mm      154.25mm      77.875mm      153.25mm      77.875mm  T          0.00 LED_3528       
VD52       3528LED             168.425mm      74.425mm     168.425mm       74.25mm     168.425mm       73.25mm  T         90.00 LED_3528       
R10        RC0805               56.875mm      63.175mm      56.875mm      63.175mm      56.875mm      64.125mm  T        270.00 82E            
R13        RC0805                101.9mm      63.175mm       101.9mm      63.175mm       101.9mm      64.125mm  T        270.00 82E            
IND1       IND_DE156            104.48mm       80.43mm        61.3mm        56.3mm        61.3mm        56.3mm  T         90.00 DE156          

